source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date
stocktwits,AAPL,2.3,0,2.3,1,0,0,1,24,2009/7/10
stocktwits,AAPL,0,0,0,0,0,0,3,24,2009/7/11
stocktwits,AAPL,0,2.8,-2.8,0,1,0,4,24,2009/7/13
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/7/28
stocktwits,AAPL,0,2.15,-2.15,0,1,0,2,24,2009/7/30
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/7/31
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/8/4
stocktwits,AAPL,2.88,0,2.88,1,0,0,1,24,2009/8/14
stocktwits,AAPL,0,2,-2,0,2,0,2,24,2009/8/18
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/8/21
stocktwits,AAPL,2.3,0,2.3,2,0,0,3,24,2009/8/24
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/8/27
stocktwits,AAPL,0,0,0,0,0,0,3,24,2009/8/28
stocktwits,AAPL,0.03,0,0.03,1,0,0,4,24,2009/8/30
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/8/31
stocktwits,AAPL,1.61,2.56,-0.95,4,2,2,7,24,2009/9/1
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/9/2
stocktwits,AAPL,2.2,0,2.2,1,0,0,4,24,2009/9/3
stocktwits,AAPL,2.08,2.8,-0.72,3,1,3,8,24,2009/9/4
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/9/6
stocktwits,AAPL,2.3,0,2.3,1,0,0,6,24,2009/9/7
stocktwits,AAPL,0.13,1.76,-1.63,1,2,0.5,14,24,2009/9/8
stocktwits,AAPL,1.88,1.58,0.3,5,6,0.83,56,24,2009/9/9
stocktwits,AAPL,2.18,1.74,0.44,2,3,0.67,18,24,2009/9/10
stocktwits,AAPL,1.96,2.6,-0.64,2,1,2,12,24,2009/9/11
stocktwits,AAPL,0,0,0,0,0,0,3,24,2009/9/12
stocktwits,AAPL,2.2,0,2.2,2,0,0,2,24,2009/9/13
stocktwits,AAPL,2.25,2.56,-0.31,5,3,1.67,18,24,2009/9/14
stocktwits,AAPL,1.97,0,1.97,2,0,0,11,24,2009/9/15
stocktwits,AAPL,1.76,2.06,-0.3,8,6,1.33,43,24,2009/9/16
stocktwits,AAPL,1.04,0.22,0.82,4,2,2,28,24,2009/9/17
stocktwits,AAPL,2.04,2.89,-0.85,4,1,4,16,24,2009/9/18
stocktwits,AAPL,0.81,0,0.81,2,0,0,9,24,2009/9/21
stocktwits,AAPL,1.76,0,1.76,3,0,0,8,24,2009/9/22
stocktwits,AAPL,2.2,1.23,0.97,3,2,1.5,17,24,2009/9/23
stocktwits,AAPL,1.88,1.6,0.28,6,3,2,19,24,2009/9/24
stocktwits,AAPL,2.16,2.15,0.01,1,4,0.25,12,24,2009/9/25
stocktwits,AAPL,0.5,0,0.5,1,0,0,2,24,2009/9/26
stocktwits,AAPL,1.29,2.31,-1.02,2,1,2,15,24,2009/9/28
stocktwits,AAPL,2.65,1.97,0.68,1,2,0.5,9,24,2009/9/29
stocktwits,AAPL,1.86,0,1.86,4,0,0,10,24,2009/9/30
stocktwits,AAPL,1.72,0,1.72,4,0,0,17,24,2009/10/1
stocktwits,AAPL,2.09,1.39,0.7,6,1,6,18,24,2009/10/2
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/10/3
stocktwits,AAPL,2.17,0,2.17,2,0,0,2,24,2009/10/4
stocktwits,AAPL,1.85,2.41,-0.56,4,1,4,10,24,2009/10/5
stocktwits,AAPL,1.65,1.28,0.37,5,1,5,17,24,2009/10/6
stocktwits,AAPL,0.62,0,0.62,2,0,0,14,24,2009/10/7
stocktwits,AAPL,0,0,0,0,0,0,14,24,2009/10/8
stocktwits,AAPL,2,2.43,-0.43,1,1,1,9,24,2009/10/9
stocktwits,AAPL,0,0.11,-0.11,0,1,0,3,24,2009/10/11
stocktwits,AAPL,1.87,0,1.87,2,0,0,7,24,2009/10/12
stocktwits,AAPL,1.07,2.13,-1.06,3,2,1.5,17,24,2009/10/13
stocktwits,AAPL,0,0.62,-0.62,0,4,0,14,24,2009/10/14
stocktwits,AAPL,0,0,0,0,0,0,11,24,2009/10/15
stocktwits,AAPL,1.57,1.03,0.54,5,1,5,14,24,2009/10/16
stocktwits,AAPL,0,0,0,0,0,0,3,24,2009/10/17
stocktwits,AAPL,0.82,0.62,0.2,3,1,3,10,24,2009/10/18
stocktwits,AAPL,1.81,1.78,0.03,26,19,1.37,106,24,2009/10/19
stocktwits,AAPL,1.69,1.73,-0.04,12,9,1.33,40,24,2009/10/20
stocktwits,AAPL,1.51,1.81,-0.3,6,5,1.2,23,24,2009/10/21
stocktwits,AAPL,1.74,2.04,-0.3,16,13,1.23,45,24,2009/10/22
stocktwits,AAPL,1.57,1.47,0.1,6,3,2,13,24,2009/10/23
stocktwits,AAPL,2.33,2.24,0.09,1,2,0.5,3,24,2009/10/25
stocktwits,AAPL,1.92,2.1,-0.18,1,1,1,4,24,2009/10/26
stocktwits,AAPL,0.64,2.29,-1.65,4,3,1.33,24,24,2009/10/27
stocktwits,AAPL,1.48,1.78,-0.3,4,2,2,12,24,2009/10/28
stocktwits,AAPL,1.6,2.06,-0.46,1,3,0.33,14,24,2009/10/29
stocktwits,AAPL,2.35,0.71,1.64,2,1,2,5,24,2009/10/30
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/10/31
stocktwits,AAPL,0,4,-4,0,1,0,1,24,2009/11/1
stocktwits,AAPL,1.74,1.59,0.15,5,5,1,17,24,2009/11/2
stocktwits,AAPL,1.71,2.2,-0.49,4,3,1.33,12,24,2009/11/3
stocktwits,AAPL,1.78,0.89,0.89,4,3,1.33,15,24,2009/11/4
stocktwits,AAPL,0,2.5,-2.5,0,1,0,6,24,2009/11/5
stocktwits,AAPL,0,0,0,0,0,0,8,24,2009/11/6
stocktwits,AAPL,1.17,0,1.17,3,0,0,3,24,2009/11/8
stocktwits,AAPL,1.83,0,1.83,4,0,0,12,24,2009/11/9
stocktwits,AAPL,1.87,1.92,-0.05,3,7,0.43,16,24,2009/11/10
stocktwits,AAPL,2.61,3.44,-0.83,2,1,2,13,24,2009/11/11
stocktwits,AAPL,0.88,2.09,-1.21,5,5,1,21,24,2009/11/12
stocktwits,AAPL,1.52,0,1.52,3,0,0,7,24,2009/11/13
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/11/14
stocktwits,AAPL,1.04,0,1.04,1,0,0,1,24,2009/11/15
stocktwits,AAPL,1.62,0,1.62,3,0,0,8,24,2009/11/16
stocktwits,AAPL,0,2.22,-2.22,0,6,0,13,24,2009/11/17
stocktwits,AAPL,1.91,0,1.91,2,0,0,12,24,2009/11/18
stocktwits,AAPL,1.45,2.22,-0.77,7,1,7,18,24,2009/11/19
stocktwits,AAPL,1.45,1.72,-0.27,3,10,0.3,18,24,2009/11/20
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/11/21
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/11/22
