,Date,Open,High,Low,Close,Volume,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages
0,2009-07-10,19.477142,19.852857999999998,19.474285000000002,19.788572,111318900,2.3,0.0,2.3,1,0,0.0,1
1,2009-07-13,19.934286,20.334286,19.647142000000002,20.334286,120875300,0.0,2.8,-2.8,0,1,0.0,4
2,2009-07-28,22.697144,22.871429,22.514286,22.857143,90888700,0.0,0.0,0.0,0,0,0.0,1
3,2009-07-30,23.1,23.531429,23.071428,23.255714,117401200,0.0,2.15,-2.15,0,1,0.0,2
4,2009-07-31,23.284285999999998,23.571428,23.272858,23.341429,105634200,0.0,0.0,0.0,0,0,0.0,1
5,2009-08-04,23.561428,23.652857,23.45857,23.65,98952700,0.0,0.0,0.0,0,0,0.0,2
6,2009-08-14,23.991428,24.032857999999997,23.647142000000002,23.825714,76454000,2.88,0.0,2.88,1,0,0.0,1
7,2009-08-18,23.09,23.462856,23.058571,23.428572,107788100,0.0,2.0,-2.0,0,2,0.0,2
8,2009-08-21,23.950001,24.195715,23.828571,24.174286,104018600,0.0,0.0,0.0,0,0,0.0,1
9,2009-08-24,24.302856,24.387142,24.038572,24.151428,101732400,2.3,0.0,2.3,2,0,0.0,3
10,2009-08-27,24.107143,24.224285000000002,23.547142,24.207144,112295400,0.0,0.0,0.0,0,0,0.0,1
11,2009-08-28,24.610001,24.641428,24.075714,24.292856,113425200,0.0,0.0,0.0,0,0,0.0,3
12,2009-08-31,24.022858,24.121429,23.785715,24.030001000000002,77834400,0.0,0.0,0.0,0,0,0.0,1
13,2009-09-01,23.998571,24.285715,23.562857,23.614286,117257000,1.61,2.56,-0.95,4,2,2.0,7
14,2009-09-02,23.517143,23.944285999999998,23.444285999999998,23.597143,91062300,0.0,0.0,0.0,0,0,0.0,2
15,2009-09-03,23.777143,23.871429,23.571428,23.792856,73488800,2.2,0.0,2.2,1,0,0.0,4
16,2009-09-04,23.897142000000002,24.385714,23.870001000000002,24.33,93657200,2.08,2.8,-0.72,3,1,3.0,8
17,2009-09-08,24.711428,24.734285,24.571428,24.704287,78761900,0.13,1.76,-1.63,1,2,0.5,14
18,2009-09-09,24.682858,24.924286,24.242857,24.448572,202771800,1.88,1.58,0.3,5,6,0.83,56
19,2009-09-10,24.58,24.75,24.401428,24.651428,122783500,2.18,1.74,0.44,2,3,0.67,18
20,2009-09-11,24.701429,24.74,24.41,24.594286,87240300,1.96,2.6,-0.64,2,1,2.0,12
21,2009-09-14,24.404285,24.842857000000002,24.321428,24.817142,80502800,2.25,2.56,-0.31,5,3,1.67,18
22,2009-09-15,24.862858,25.092857000000002,24.798571,25.022858,106617700,1.97,0.0,1.97,2,0,0.0,11
23,2009-09-16,25.427143,26.107143,25.411428,25.981428,188505800,1.76,2.06,-0.3,8,6,1.33,43
24,2009-09-17,25.997142999999998,26.684286,25.995714000000003,26.364286,202643000,1.04,0.22,0.82,4,2,2.0,28
25,2009-09-18,26.547141999999997,26.65,26.394284999999996,26.431428999999998,150395700,2.04,2.89,-0.85,4,1,4.0,16
26,2009-09-21,26.327143,26.451428999999997,25.945715,26.288572,109428900,0.81,0.0,0.81,2,0,0.0,9
27,2009-09-22,26.455715,26.482857,26.121429,26.354286,89188400,1.76,0.0,1.76,3,0,0.0,8
28,2009-09-23,26.485714,26.985714,26.432858000000003,26.5,148390900,2.2,1.23,0.97,3,2,1.5,17
29,2009-09-24,26.742857,26.814284999999998,26.110001,26.26,137720100,1.88,1.6,0.28,6,3,2.0,19
30,2009-09-25,26.001429,26.5,25.92,26.052856,111309800,2.16,2.15,0.01,1,4,0.25,12
31,2009-09-28,26.267143,26.668571000000004,26.190001000000002,26.592857000000002,84361200,1.29,2.31,-1.02,2,1,2.0,15
32,2009-09-29,26.675714000000003,26.771428999999998,26.33,26.482857,86346400,2.65,1.97,0.68,1,2,0.5,9
33,2009-09-30,26.59,26.635714,26.087142999999998,26.478571000000002,134896300,1.86,0.0,1.86,4,0,0.0,10
34,2009-10-01,26.478571000000002,26.602858,25.814285,25.837142999999998,131177900,1.72,0.0,1.72,4,0,0.0,17
35,2009-10-02,25.915714,26.562857,25.907142999999998,26.414285999999997,138327000,2.09,1.39,0.7,6,1,6.0,18
36,2009-10-05,26.6,26.694285999999998,26.324285999999997,26.574285999999997,105783300,1.85,2.41,-0.56,4,1,4.0,10
